"participant","date","expName","response.keys","response.rt","count","sentence","sent_ident","left_variant","right_variant","left_ident","right_ident"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",3.2197,14,"This time, _____ made the headlines for all the right reasons.","SN2","England's goalkeeper","the England goalkeeper","gen","mod"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",8.2752,15,"The ‘Green New Deal’ has stalled in the Senate, but _____ are still hopeful of movement in the coming days.","SG4","proponents of the bill","the bill's proponents","of","apost"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",10.2764,16,"While her writings do sometimes tend _____ the subjective, significant insight can be taken from her work.","LT1","towards","toward","towards","toward"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",3.9026,17,"The research assistant then gave _____ : keep the reward, or trade it for an unknown item.","SD5","Amy a choice","a choice to Amy","ditran","prep"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",7.7152,18,"His long absence undid much of the progress _____ had brought the town into competition with its rivals.","LR2","which","that","which","that"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",4.2981,19,"Conversely, the historian gave _____ for her breakthrough.","SD3","the credit to Sullivan","Sullivan the credit","prep","ditran"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",3.5845,20,"At its peak, the company employed _____ 200 workers.","LM1","more than","over","more","over"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",4.0478,21,"Grammatical information is expressed in many different ways across the _____ .","SG2","languages of the world","world’s languages","of","apost"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",7.2553,22,"Controversially, the company has continued to spray _____ , despite the ongoing protests.","SS1","pesticides on the fields","the fields with pesticides","on","with"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",5.2918,23,"However, this unforeseen event gave _____ as he pressed on with his agenda.","SD2","Henry the advantage","the advantage to Henry","ditran","prep"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",4.8349,24,"The villagers reverted to hunting, _____ trying to produce the required food solely from farming and agriculture.","LI1","instead of","rather than","instead","rather"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",4.4134,25,"The regime _____ last year, to public outcry.","SP3","brought back conscription","brought conscription back","cont","discont"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",3.9543,26,"The minister pushed ahead with the plan, _____ regard for the emotional wellbeing of those involved.","LNW1","without any","with no","without","withno"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",4.243,27,"It was suggested that the suspect handed _____ just minutes before the incident.","SD1","the letter to Smith","Smith the letter","prep","ditran"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",4.9082,28,"The experimental results were then _____ the theoretical values.","LPCC","compared with","compared to","compwith","compto"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",6.3211,29,"The scheme encourages people not to _____ , but to return them to a bottle bank for a small refund.","SP2","throw their bottles away","throw away their bottles","discont","cont"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",5.2033,30,"Preparation and attention to detail in the design of the coding _____ reduce noise in the output.","LIH2","helps to","helps","helpto","help"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",3.4055,31,"Indeed, similar themes can be found throughout _____ .","SG6","Shakespeare’s works","the works of Shakespeare","apost","of"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",5.0486,32,"The crisis has already affected around _____ the population.","LPOH","half of","half","addprep","noprep"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",8.9963,33,"In this kind of study, the responses elicited could be influenced by the _____ towards the participant.","SG5","attitude of the researcher","researcher’s attitude","of","apost"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",4.2065,34,"This is just one of several factors _____ may affect the efficacy of the treatment.","LR1","that","which","that","which"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",4.2712,35,"His failure handed _____ , and he seized it almost immediately.","SD4","Thompson an opportunity","an opportunity to Thompson","ditran","prep"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",5.0761,36,"The relevant parties would then consider whether to _____ persuade member states to ratify the amendment.","LIT2","try and","try to","tryand","tryto"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",7.2056,37,"The award-winning filmmaker once said that the best advice he had ever received was simply to _____ and write.","SP1","pick up the pen","pick the pen up","cont","discont"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","right",4.7377,38,"A number of patients described experiencing a loss of consciousness _____ warning.","LNW2","with no","without any","withno","without"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",5.5447,39,"The possibility of offering a patient any experimental treatment is dependent on _____ .","SG3","that patient’s general health","the general health of that patient","apost","of"
"5466464","2023-06-20_22h03.45.268","idiolect_t1","left",4.6649,40,"The study concluded that this kind of prejudice was _____ by evidence-based arguments.","LNU1","unaffected","not affected","un","not"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",12.5826,1,"His long absence undid much of the progress _____ had brought the town into competition with its neighbours.","LR2","that","which","that","which"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.55,2,"Indeed, similar imagery can be found throughout _____ .","SG6","the works of Shakespeare","Shakespeare’s works","of","apost"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",4.7344,3,"The research assistant then gave _____ : keep the reward, or trade it for an unknown item.","SD5","a choice to Amy","Amy a choice","prep","ditran"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.2894,4,"Every area of the company experienced an increase in productivity _____ the R & D department, which is yet to implement the new system.","LPOE","except","except for","noprep","addprep"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",4.7428,5,"Nevertheless, the company has continued to spray _____ , despite the ongoing protests.","SS1","the fields with pesticides","pesticides on the fields","with","on"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.5399,6,"The villagers reverted to hunting, _____ trying to produce the required food purely from farming and agriculture.","LI1","rather than","instead of","rather","instead"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",4.9378,7,"It was argued that the suspect handed _____ just minutes before the incident.","SD1","Smith the letter","the letter to Smith","ditran","prep"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.4773,8,"The report concluded that this kind of prejudice was _____ by evidence-based arguments.","LNU1","not affected","unaffected","not","un"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.0387,9,"There was a clear change in the test results before and after the participant _____ .","SP4","took off the glasses","took the glasses off","cont","discont"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",6.157,10,"The present paper suggests that psychological analysis can _____ explain the recent upturn in hate speech across the USA.","LIH1","help to","help","helpto","help"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",7.6876,11,"On the contrary, the historian gave _____ for her breakthrough.","SD3","Sullivan the credit","the credit to Sullivan","ditran","prep"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",3.3912,12,"Indeed, _____ makes no such assurances regarding delivery times.","SN1","Ikea's website","the Ikea website","gen","mod"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",6.3927,13,"The relevant parties would then discuss whether to _____ persuade member states to ratify the amendment.","LIT2","try to","try and","tryto","tryand"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",6.4903,14,"The woman accidentally _____ , spilling water over herself.","SP5","knocked over the glass","knocked the glass over","cont","discont"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.18,15,"The new education policy has stalled in the Senate, but _____ are still hopeful of movement in the coming weeks.","SG4","the bill's proponents","proponents of the bill","apost","of"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.6791,16,"The executives pushed ahead with the plan, _____ regard for the emotional wellbeing of those involved.","LNW1","with no","without any","withno","without"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",3.2683,17,"His failure handed _____ , and he seized it without hesitation.","SD4","an opportunity to Thompson","Thompson an opportunity","prep","ditran"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.163,18,"This is just one of several factors _____ may affect the efficacy of the treatment.","LR1","which","that","which","that"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.4137,19,"The medication _____ so that the body can easily absorb them.","SP6","breaks harmful molecules down","breaks down harmful molecules","discont","cont"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",4.4444,20,"As multiple papers have noted, this methodology is _____ for studies taking place in certain territories.","LNU2","unsuitable","not suitable","un","not"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.7659,21,"Forethought and attention to detail in the design of the coding _____ reduce noise in the output.","LIH2","helps","helps to","help","helpto"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.1739,22,"The next step is to spray _____ and observe their development over the following 48 hours.","SS2","water on the specimens","the specimens with water","on","with"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",3.7484,23,"The situation has already affected around _____ the population.","LPOH","half","half of","noprep","addprep"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",4.4401,24,"Grammatical information is expressed in many different ways across the _____ .","SG2","world’s languages","languages of the world","apost","of"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",3.9401,25,"The local population did everything they could to _____ protect themselves from the foreign invaders, but it was insufficient.","LIT1","try and","try to","tryand","tryto"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",3.5466,26,"Observers have long questioned the _____ .","SG1","legal status of the company","company's legal status","of","apost"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.0135,27,"Nonetheless, this unforeseen event gave _____ as he pressed on with his agenda.","SD2","the advantage to Henry","Henry the advantage","prep","ditran"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.3811,28,"In 2014, new guidance was published regarding the recommended hours of physical activity _____ school.","LPOO","outside of","outside","addprep","noprep"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.4644,29,"The scheme encourages people not to _____ , but to return them to a bottle bank for a small reimbursement.","SP2","throw away their bottles","throw their bottles away","cont","discont"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",6.8445,30,"While her writings do sometimes tend _____ the subjective, significant insight can be gleaned from her work.","LT1","toward","towards","toward","towards"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",3.2002,31,"The regime _____ last year, to widespread protest.","SP3","brought conscription back","brought back conscription","discont","cont"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",3.2817,32,"This year, _____ made the headlines for all the right reasons.","SN2","the England goalkeeper","England's goalkeeper","mod","gen"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",7.6155,33,"The experimental results were then _____ the theoretical data.","LPCC","compared to","compared with","compto","compwith"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",3.2586,34,"His interpretation displayed little understanding of the law _____ regulates contracts of this kind.","LR3","which","that","which","that"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",6.9293,35,"It was argued that this division within the ranks gave _____ and therefore contributed to the overall change in strategy.","SD6","Wilson the initiative","the initiative to Wilson","ditran","prep"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",5.5578,36,"A number of subjects described experiencing a loss of consciousness _____ warning.","LNW2","without any","with no","without","withno"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",5.2771,37,"The option of offering a patient any experimental treatment is dependent on _____ .","SG3","the general health of that patient","that patient’s general health","of","apost"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",3.5837,38,"At its height, the company employed _____ 200 workers.","LM1","over","more than","over","more"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","right",6.2127,39,"The award-winning author once said that the best advice he had ever received was simply to _____ and write.","SP1","pick the pen up","pick up the pen","discont","cont"
"5466464","2023-07-21_19h16.59.891","idiolect_t2","left",4.9838,40,"In this type of study, the responses elicited could be influenced by the _____ towards the participant.","SG5","researcher’s attitude","attitude of the researcher","apost","of"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",8.6223,1,"The medication _____ so that the body can easily remove them.","SP6","breaks down harmful molecules","breaks harmful molecules down","cont","discont"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",5.7966,2,"Every area of the company experienced an increase in productivity _____ the R & D department, which is yet to implement the new policy.","LPOE","except for","except","addprep","noprep"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.0457,3,"Indeed, _____ makes no such assurances regarding a returns policy.","SN1","the Ikea website","Ikea's website","mod","gen"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.5983,4,"His interpretation showed little understanding of the law _____ regulates contracts of this kind.","LR3","that","which","that","which"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.7538,5,"The man accidentally _____ , spilling water over himself.","SP5","knocked the glass over","knocked over the glass","discont","cont"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",4.2797,6,"It could be argued that this division within the ranks gave _____ and therefore contributed to the overall change in strategy.","SD6","the initiative to Wilson","Wilson the initiative","prep","ditran"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",4.0883,7,"The present paper argues that psychological analysis can _____ explain the recent upturn in hate speech across the USA.","LIH1","help","help to","help","helpto"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",4.7414,8,"As several papers have noted, this methodology is _____ for studies taking place in certain territories.","LNU2","not suitable","unsuitable","not","un"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",3.5353,9,"There was a clear difference in the test results before and after the participant _____ .","SP4","took the glasses off","took off the glasses","discont","cont"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.2911,10,"Critics have long questioned the _____ .","SG1","company's legal status","legal status of the company","apost","of"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.781,11,"In 2013, new guidelines were released regarding the recommended hours of physical activity _____ school.","LPOO","outside","outside of","noprep","addprep"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.0104,12,"The next step is to spray _____ and observe their development over the following 24 hours.","SS2","the specimens with water","water on the specimens","with","on"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.5186,13,"The local population did everything they could to _____ protect themselves from the foreign invaders, but it was not enough.","LIT1","try to","try and","tryto","tryand"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",2.9071,14,"This time, _____ made the headlines for all the right reasons.","SN2","England's goalkeeper","the England goalkeeper","gen","mod"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.1093,15,"The ‘Green New Deal’ has stalled in the Senate, but _____ are still hopeful of movement in the coming days.","SG4","proponents of the bill","the bill's proponents","of","apost"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",5.3317,16,"While her writings do sometimes tend _____ the subjective, significant insight can be taken from her work.","LT1","towards","toward","towards","toward"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.6022,17,"The research assistant then gave _____ : keep the reward, or trade it for an unknown item.","SD5","Amy a choice","a choice to Amy","ditran","prep"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.1624,18,"His long absence undid much of the progress _____ had brought the town into competition with its rivals.","LR2","which","that","which","that"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",3.0229,19,"Conversely, the historian gave _____ for her breakthrough.","SD3","the credit to Sullivan","Sullivan the credit","prep","ditran"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",3.5683,20,"At its peak, the company employed _____ 200 workers.","LM1","more than","over","more","over"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.7577,21,"Grammatical information is expressed in many different ways across the _____ .","SG2","languages of the world","world’s languages","of","apost"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.0885,22,"Controversially, the company has continued to spray _____ , despite the ongoing protests.","SS1","pesticides on the fields","the fields with pesticides","on","with"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",3.3738,23,"However, this unforeseen event gave _____ as he pressed on with his agenda.","SD2","Henry the advantage","the advantage to Henry","ditran","prep"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.3617,24,"The villagers reverted to hunting, _____ trying to produce the required food solely from farming and agriculture.","LI1","instead of","rather than","instead","rather"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",3.3708,25,"The regime _____ last year, to public outcry.","SP3","brought back conscription","brought conscription back","cont","discont"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.5436,26,"The minister pushed ahead with the plan, _____ regard for the emotional wellbeing of those involved.","LNW1","without any","with no","without","withno"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.2974,27,"It was suggested that the suspect handed _____ just minutes before the incident.","SD1","the letter to Smith","Smith the letter","prep","ditran"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",3.922,28,"The experimental results were then _____ the theoretical values.","LPCC","compared with","compared to","compwith","compto"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",5.1751,29,"The scheme encourages people not to _____ , but to return them to a bottle bank for a small refund.","SP2","throw their bottles away","throw away their bottles","discont","cont"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.8231,30,"Preparation and attention to detail in the design of the coding _____ reduce noise in the output.","LIH2","helps to","helps","helpto","help"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",3.0291,31,"Indeed, similar themes can be found throughout _____ .","SG6","Shakespeare’s works","the works of Shakespeare","apost","of"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",2.4673,32,"The crisis has already affected around _____ the population.","LPOH","half of","half","addprep","noprep"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",5.1414,33,"In this kind of study, the responses elicited could be influenced by the _____ towards the participant.","SG5","attitude of the researcher","researcher’s attitude","of","apost"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.7879,34,"This is just one of several factors _____ may affect the efficacy of the treatment.","LR1","that","which","that","which"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",5.2528,35,"His failure handed _____ , and he seized it almost immediately.","SD4","Thompson an opportunity","an opportunity to Thompson","ditran","prep"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.0804,36,"The relevant parties would then consider whether to _____ persuade member states to ratify the amendment.","LIT2","try and","try to","tryand","tryto"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",4.3956,37,"The award-winning filmmaker once said that the best advice he had ever received was simply to _____ and write.","SP1","pick up the pen","pick the pen up","cont","discont"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",4.0593,38,"A number of patients described experiencing a loss of consciousness _____ warning.","LNW2","with no","without any","withno","without"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","right",3.9388,39,"The possibility of offering a patient any experimental treatment is dependent on _____ .","SG3","that patient’s general health","the general health of that patient","apost","of"
"56d84fd","2023-06-21_13h39.42.361","idiolect_t1","left",4.3543,40,"The study concluded that this kind of prejudice was _____ by evidence-based arguments.","LNU1","unaffected","not affected","un","not"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.5905,1,"His long absence undid much of the progress _____ had brought the town into competition with its neighbours.","LR2","that","which","that","which"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.8732,2,"Indeed, similar imagery can be found throughout _____ .","SG6","the works of Shakespeare","Shakespeare’s works","of","apost"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",4.1484,3,"The research assistant then gave _____ : keep the reward, or trade it for an unknown item.","SD5","a choice to Amy","Amy a choice","prep","ditran"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",4.2911,4,"Every area of the company experienced an increase in productivity _____ the R & D department, which is yet to implement the new system.","LPOE","except","except for","noprep","addprep"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",3.2794,5,"Nevertheless, the company has continued to spray _____ , despite the ongoing protests.","SS1","the fields with pesticides","pesticides on the fields","with","on"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",4.0541,6,"The villagers reverted to hunting, _____ trying to produce the required food purely from farming and agriculture.","LI1","rather than","instead of","rather","instead"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.5258,7,"It was argued that the suspect handed _____ just minutes before the incident.","SD1","Smith the letter","the letter to Smith","ditran","prep"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",3.6067,8,"The report concluded that this kind of prejudice was _____ by evidence-based arguments.","LNU1","not affected","unaffected","not","un"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",4.3837,9,"There was a clear change in the test results before and after the participant _____ .","SP4","took off the glasses","took the glasses off","cont","discont"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",4.903,10,"The present paper suggests that psychological analysis can _____ explain the recent upturn in hate speech across the USA.","LIH1","help to","help","helpto","help"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.1365,11,"On the contrary, the historian gave _____ for her breakthrough.","SD3","Sullivan the credit","the credit to Sullivan","ditran","prep"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.6386,12,"Indeed, _____ makes no such assurances regarding delivery times.","SN1","Ikea's website","the Ikea website","gen","mod"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",3.0351,13,"The relevant parties would then discuss whether to _____ persuade member states to ratify the amendment.","LIT2","try to","try and","tryto","tryand"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.8578,14,"The woman accidentally _____ , spilling water over herself.","SP5","knocked over the glass","knocked the glass over","cont","discont"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",3.7856,15,"The new education policy has stalled in the Senate, but _____ are still hopeful of movement in the coming weeks.","SG4","the bill's proponents","proponents of the bill","apost","of"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",4.1421,16,"The executives pushed ahead with the plan, _____ regard for the emotional wellbeing of those involved.","LNW1","with no","without any","withno","without"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",4.029,17,"His failure handed _____ , and he seized it without hesitation.","SD4","an opportunity to Thompson","Thompson an opportunity","prep","ditran"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.7463,18,"This is just one of several factors _____ may affect the efficacy of the treatment.","LR1","which","that","which","that"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",4.8928,19,"The medication _____ so that the body can easily absorb them.","SP6","breaks harmful molecules down","breaks down harmful molecules","discont","cont"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.9714,20,"As multiple papers have noted, this methodology is _____ for studies taking place in certain territories.","LNU2","unsuitable","not suitable","un","not"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",4.4105,21,"Forethought and attention to detail in the design of the coding _____ reduce noise in the output.","LIH2","helps","helps to","help","helpto"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",3.4833,22,"The next step is to spray _____ and observe their development over the following 48 hours.","SS2","water on the specimens","the specimens with water","on","with"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",3.7059,23,"The situation has already affected around _____ the population.","LPOH","half","half of","noprep","addprep"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.9916,24,"Grammatical information is expressed in many different ways across the _____ .","SG2","world’s languages","languages of the world","apost","of"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.5706,25,"The local population did everything they could to _____ protect themselves from the foreign invaders, but it was insufficient.","LIT1","try and","try to","tryand","tryto"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",2.6428,26,"Observers have long questioned the _____ .","SG1","legal status of the company","company's legal status","of","apost"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",3.4078,27,"Nonetheless, this unforeseen event gave _____ as he pressed on with his agenda.","SD2","the advantage to Henry","Henry the advantage","prep","ditran"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.8375,28,"In 2014, new guidance was published regarding the recommended hours of physical activity _____ school.","LPOO","outside of","outside","addprep","noprep"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",6.0043,29,"The scheme encourages people not to _____ , but to return them to a bottle bank for a small reimbursement.","SP2","throw away their bottles","throw their bottles away","cont","discont"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.1211,30,"While her writings do sometimes tend _____ the subjective, significant insight can be gleaned from her work.","LT1","toward","towards","toward","towards"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",2.8989,31,"The regime _____ last year, to widespread protest.","SP3","brought conscription back","brought back conscription","discont","cont"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","right",2.5913,32,"This year, _____ made the headlines for all the right reasons.","SN2","the England goalkeeper","England's goalkeeper","mod","gen"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.884,33,"The experimental results were then _____ the theoretical data.","LPCC","compared to","compared with","compto","compwith"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",4.5066,34,"His interpretation displayed little understanding of the law _____ regulates contracts of this kind.","LR3","which","that","which","that"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",4.1437,35,"It was argued that this division within the ranks gave _____ and therefore contributed to the overall change in strategy.","SD6","Wilson the initiative","the initiative to Wilson","ditran","prep"
"56d84fd","2023-07-21_16h04.54.447","idiolect_t2","left",3.3569,36,"A number of subjects described experiencing a loss of consciousness _____ warning.","LNW2","without any","with no","without","withno"
